H B C N P
H B C N O
H B C N S
H B C N Se
H B C N F
H B C N Cl
H B C N Br
H B C N I
H B C N F
H B C P O
H B C P S
H B C P Se
H B C P F
H B C P Cl
H B C P Br
H B C P I
H B C P F
H B C O S
H B C O Se
H B C O F
H B C O Cl
H B C O Br
H B C O I
H B C O F
H B C S Se
H B C S F
H B C S Cl
H B C S Br
H B C S I
H B C S F
H B C Se F
H B C Se Cl
H B C Se Br
H B C Se I
H B C Se F
H B C F Cl
H B C F Br
H B C F I
H B C F F
H B N P O
H B N P S
H B N P Se
H B N P F
H B N P Cl
H B N P Br
H B N P I
H B N P F
H B N O S
H B N O Se
H B N O F
H B N O Cl
H B N O Br
H B N O I
H B N O F
H B N S Se
H B N S F
H B N S Cl
H B N S Br
H B N S I
H B N S F
H B N Se F
H B N Se Cl
H B N Se Br
H B N Se I
H B N Se F
H B N F Cl
H B N F Br
H B N F I
H B N F F
H B P O S
H B P O Se
H B P O F
H B P O Cl
H B P O Br
H B P O I
H B P O F
H B P S Se
H B P S F
H B P S Cl
H B P S Br
H B P S I
H B P S F
H B P Se F
H B P Se Cl
H B P Se Br
H B P Se I
H B P Se F
H B P F Cl
H B P F Br
H B P F I
H B P F F
H B O S Se
H B O S F
H B O S Cl
H B O S Br
H B O S I
H B O S F
H B O Se F
H B O Se Cl
H B O Se Br
H B O Se I
H B O Se F
H B O F Cl
H B O F Br
H B O F I
H B O F F
H B S Se F
H B S Se Cl
H B S Se Br
H B S Se I
H B S Se F
H B S F Cl
H B S F Br
H B S F I
H B S F F
H B Se F Cl
H B Se F Br
H B Se F I
H B Se F F
H C N P O
H C N P S
H C N P Se
H C N P F
H C N P Cl
H C N P Br
H C N P I
H C N P F
H C N O S
H C N O Se
H C N O F
H C N O Cl
H C N O Br
H C N O I
H C N O F
H C N S Se
H C N S F
H C N S Cl
H C N S Br
H C N S I
H C N S F
H C N Se F
H C N Se Cl
H C N Se Br
H C N Se I
H C N Se F
H C N F Cl
H C N F Br
H C N F I
H C N F F
H C P O S
H C P O Se
H C P O F
H C P O Cl
H C P O Br
H C P O I
H C P O F
H C P S Se
